,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,10,630,21453,14503,6972,1991,0.523,0.4,0.838,34.1,23,11.1,3.2,83.3,0.186,4.4,34.7
2,2,LAL,D'Angelo Russell,Ohio State,10,621,18544,10785,2092,3545,0.428,0.366,0.796,29.9,17.4,3.4,5.7,26.7,0.069,0.7,12.5
3,3,PHI,Jahlil Okafor,Duke,7,248,4830,2566,1170,226,0.542,0.222,0.676,19.5,10.3,4.7,0.9,7.2,0.071,-2,0
4,4,NYK,Kristaps Porzingus,,9,491,15122,9627,3821,888,0.46,0.364,0.83,30.8,19.6,7.8,1.8,46.6,0.148,2.6,17.5
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,0.391,0.305,0.748,19.8,6.2,3.1,1.5,6.9,0.037,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.9,0.094,-0.2,3.7
10,10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.2,0.044,-2.1,-0.3
11,11,IND,Myles Turner,Texas,10,626,18002,8780,4240,793,0.499,0.362,0.771,28.8,14,6.8,1.3,47.2,0.126,0.7,12.5
12,12,UTA,Trey Lyles,Kentucky,10,634,11582,4803,2743,675,0.44,0.347,0.741,18.3,7.6,4.3,1.1,21.1,0.088,-1,2.8
13,13,PHO,Devin Booker,Kentucky,10,657,22564,16061,2654,3397,0.464,0.356,0.873,34.3,24.4,4,5.2,50.7,0.108,1.1,17.7
14,14,OKC,Cameron Payne,Murray State,10,463,8092,3604,928,1479,0.421,0.369,0.833,17.5,7.8,2,3.2,13.7,0.081,-0.5,3.1
15,15,ATL,Kelly Oubre Jr.,Kansas,10,654,17717,8683,3027,747,0.438,0.325,0.752,27.1,13.3,4.6,1.1,25.1,0.068,-1.9,0.6
16,16,BOS,Terry Rozier,Louisville,10,657,18221,9221,2590,2320,0.419,0.362,0.829,27.7,14,3.9,3.5,30.6,0.081,0.2,10.3
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5
20,20,TOR,Delon Wright,Utah,10,538,10964,3603,1633,1609,0.446,0.349,0.799,20.4,6.7,3,3,28.5,0.125,2,11
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,10,651,14823,7769,4657,848,0.478,0.383,0.764,22.8,11.9,7.2,1.3,33.6,0.109,-0.4,5.9
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,10,665,14063,5076,1333,2964,0.445,0.375,0.82,21.1,7.6,2,4.5,32.9,0.112,0.5,8.8
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,10,546,12587,4204,3341,1017,0.539,0.353,0.696,23.1,7.7,6.1,1.9,34.7,0.132,1.2,10.3
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,10,582,10093,2922,3316,940,0.575,0.159,0.609,17.3,5,5.7,1.6,36.5,0.174,0.4,6
31,31,MIN,Cedi Osman,,7,476,10815,4427,1411,933,0.432,0.357,0.711,22.7,9.3,3,2,12.5,0.055,-2.1,-0.3
32,32,HOU,Montrezl Harrell,Louisville,8,515,10544,6220,2588,675,0.619,0.108,0.664,20.5,12.1,5,1.3,42.9,0.195,2.6,12.2
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
35,35,PHI,Willy Hernangomez,,7,344,5149,2524,1982,364,0.533,0.306,0.713,15,7.3,5.8,1.1,16.3,0.152,0.1,2.8
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,10,482,9256,4115,2568,473,0.605,0.269,0.75,19.2,8.5,5.3,1,30.3,0.157,0.1,5
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,10,554,15815,6381,1685,1463,0.428,0.363,0.846,28.5,11.5,3,2.6,27.7,0.084,-0.6,5.5
41,41,BRK,Pat Connaughton,Notre Dame,10,585,11295,3496,1996,810,0.436,0.356,0.773,19.3,6,3.4,1.4,24.1,0.102,-0.5,4.4
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,10,603,14500,7945,1619,917,0.472,0.399,0.827,24,13.2,2.7,1.5,31.7,0.105,0.1,7.8
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0
57,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
