,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,7,370,11721,5003,2797,2723,0.56,0.139,0.592,31.7,13.5,7.6,7.4,35.3,0.145,3,14.9
2,2,LAL,Brandon Ingram,Duke,9,495,16316,9656,2566,2130,0.468,0.363,0.788,33,19.5,5.2,4.3,27.3,0.08,0.1,8.6
3,3,BOS,Jaylen Brown,California,9,594,18218,11295,3169,1562,0.478,0.359,0.725,30.7,19,5.3,2.6,39.9,0.105,0.3,10.7
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,9,390,9079,2991,1306,1581,0.436,0.319,0.733,23.3,7.7,3.3,4.1,10.6,0.056,-1.2,1.9
6,6,NOP,Buddy Hield,Oklahoma,9,697,19832,10567,2883,1753,0.433,0.397,0.857,28.5,15.2,4.1,2.5,26.9,0.065,0.3,11.3
7,7,DEN,Jamal Murray,Kentucky,8,527,16487,9436,1974,2457,0.455,0.382,0.87,31.3,17.9,3.7,4.7,37.5,0.109,0.9,12.2
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1,6.5,0.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,9,588,13143,5198,4093,1068,0.629,0.333,0.555,22.4,8.8,7,1.8,43.4,0.159,1.2,10.5
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,9,632,19444,10158,6700,3084,0.56,0.348,0.728,30.8,16.1,10.6,4.9,68.2,0.168,3.4,26.3
12,12,UTA,Taurean Prince,Baylor,9,564,13882,5581,2035,976,0.426,0.383,0.812,24.6,9.9,3.6,1.7,14.2,0.049,-2.1,-0.2
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.044,-1.9,0.2
15,15,DEN,Juancho Hernangómez,,7,339,5269,1711,1131,216,0.428,0.342,0.676,15.5,5,3.3,0.6,8.7,0.08,-1.9,0.1
16,16,BOS,Guerschon Yabusele,,3,134,2074,802,429,151,0.487,0.373,0.725,15.5,6,3.2,1.1,4.4,0.102,-1.2,0.4
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,9,561,13243,6475,1576,758,0.427,0.39,0.77,23.6,11.5,2.8,1.4,19.5,0.071,-0.9,3.6
20,20,IND,Caris LeVert,Michigan,9,510,14202,7088,1931,2061,0.437,0.346,0.737,27.8,13.9,3.8,4,23.2,0.078,-0.2,6.4
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7
23,23,BOS,Ante Žiži?,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,,6,328,5254,1937,656,293,0.391,0.335,0.829,16,5.9,2,0.9,4.7,0.043,-4,-2.7
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0
26,26,PHI,Furkan Korkmaz,,7,328,5447,2244,646,391,0.406,0.356,0.761,16.6,6.8,2,1.2,7.6,0.067,-2,0.1
27,27,TOR,Pascal Siakam,New Mexico State,9,614,19156,11051,4092,2205,0.499,0.34,0.765,31.2,18,6.7,3.6,54.4,0.136,2,19.2
28,28,PHO,Skal Labissière,Kentucky,5,152,2607,1074,665,153,0.492,0.36,0.748,17.2,7.1,4.4,1,4.4,0.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,8,503,14745,7803,2925,2718,0.453,0.34,0.79,29.3,15.5,5.8,5.4,26.3,0.086,1.4,12.6
30,30,GSW,Damian Jones,Vanderbilt,8,279,3782,1366,869,193,0.656,0.351,0.715,13.6,4.9,3.1,0.7,11.3,0.143,-1,1
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0
32,32,LAL,Ivica Zubac,,9,566,12827,5603,4509,735,0.613,0.083,0.726,22.7,9.9,8,1.3,47.8,0.179,0.7,8.6
